country,director,spine_number,title,url,year_of_release,aspect_ratio,blurb,cast,colour,credits,films_contained,formats,language,run_time,special_features,decade_of_release,dvd,bluray,english,boxset,boxsets_contained_in,available_individually,included_in_boxset,continent
Germany,Wim Wenders,814.0,Alice in the Cities,https://www.criterion.com/films/27717-alice-in-the-cities,1974.0,1.66:1,"The first of the road films that would come to define the career of Wim Wenders, the magnificent Alice in the Cities is an emotionally generous and luminously shot odyssey. A German journalist (Rudiger Vogler) is driving across the United States to research an article; it's a disappointing trip, in which he is unable to truly connect with what he sees. Things change, however, when he has no choice but to take a young girl named Alice (Yella Rottlander) with him on his return trip to Germany, after her mother (Lisa Kreuzer)--whom he has just met--leaves the child in his care. Though they initially find themselves at odds, the pair begin to form an unlikely friendship.","Rudiger Vogler, Yella Rottlander, Elisabeth Kreuzer, Edda Kochl, Ernest Boehm, Sam Presti, Lois Moran, Didi Petrikat, Hans Hirschmuller, Sibylle Baier, Mirko",Black & White,Director Wim Wenders Producer Wim Wenders Producer Peter Genee Producer Veith v. Furstenberg Screenplay Wim Wenders Screenplay Veith v. Furstenberg Director of photography Robby Muller Editor Peter Przygodda Editor Barbara v. Weitershausen Sound Martin Muller Assistant director Mickey Kley Assistant camera Martin Schafer Rerecording mixer Paul Scholer Music Can Music Chuck Berry Music Gustav Mahler Music Canned Heat Music Deep Purple Music Count Five Music Stories,Alice in the Cities,,German,113.0,"New, restored 4K digital transfer, commissioned by the Wim Wenders Foundation and supervised by director Wim Wenders, with uncompressed monaural soundtrack on the Blu-ray, German-language audio commentary featuring Wenders and actors Rudiger Vogler and Yella Rottlander, New interviews with Vogler, Rottlander, and actor Lisa Kreuzer, Outtakes from the film, Restoring Time, a 2015 short about the restoration work done by the Wim Wenders Foundation, Same Player Shoots Again (1967) and Silver City Revisited (1968), two newly restored early short films by Wenders , New English subtitle translation by Wenders, New, restored 4K digital transfer, commissioned by the Wim Wenders Foundation and supervised by director Wim Wenders, with uncompressed monaural soundtrack on the Blu-ray, German-language audio commentary featuring Wenders and actors Rudiger Vogler and Yella Rottlander, New interviews with Vogler, Rottlander, and actor Lisa Kreuzer, Outtakes from the film, Restoring Time, a 2015 short about the restoration work done by the Wim Wenders Foundation, Same Player Shoots Again (1967) and Silver City Revisited (1968), two newly restored early short films by Wenders , New English subtitle translation by Wenders",1970.0,0,0,0,0,,1.0,0,Europe
Germany,Rainer Werner Fassbinder,198.0,Ali: Fear Eats the Soul,https://www.criterion.com/films/152-ali-fear-eats-the-soul,1974.0,1.37:1,"The wildly prolific German filmmaker Rainer Werner Fassbinder paid homage to his cinematic hero Douglas Sirk with this update of that filmmaker's 1955 All That Heaven Allows. A lonely widow (Brigitte Mira) meets a much younger Arab worker (El Hedi ben Salem) in a bar during a rainstorm. They fall in love, to their own surprise--and to the outright shock of their families, colleagues, and drinking buddies. In Ali: Fear Eats the Soul, Fassbinder expertly wields the emotional power of classic Hollywood melodrama to expose the racial tensions underlying contemporary German culture.","Brigitte Mira, El Hedi ben Salem, Barbara Valentin, Irm Hermann, Elma Karlowa, Anita Bucher, Gusti Kreissl, Doris Mattes, Margit Symo, Katharina Herberg, Lilo Pempeit, Peter Gauhe, Marquard Bohm, Walter Sedlmayr",Color,Director Rainer Werner Fassbinder Writer Rainer Werner Fassbinder Director of photography Jurgen Jurges Assistant cameraman Thomas Schwan Assistant director Rainer Langhans Editor Thea Eymesz Sound Fritz Muller-Scherz Makeup Helga Kempke Still photographer Peter Gauhe Lighting Ekkehard Heinrich Production manager Christian Hohoff,Ali: Fear Eats the Soul,"Blu-Ray, DVD",German,93.0,"New 4K digital restoration, supervised by director of photography Jurgen Jurges, with uncompressed monaural soundtrack on the Blu-ray , Introduction from 2003 by filmmaker Todd Haynes, Interviews from 2003 with actor Brigitte Mira and editor Thea Eymesz, Shahbaz Noshir's 2002 short Angst isst Seele auf, which reunites Mira, Eymesz, and Jurges to tell the story, based on real events, of an attack by neo-Nazis on a foreign actor while on his way to a stage performance of Rainer Werner Fassbinder's screenplay, Signs of Vigorous Life: New German Cinema, a 1976 BBC program about the film movement of which Fassbinder was a part, Scene from Fassbinder's 1970 film The American Soldier that inspired Ali: Fear Eats the Soul, Trailer, PLUS: An essay by critic Chris Fujiwara , New 4K digital restoration, supervised by director of photography Jurgen Jurges, with uncompressed monaural soundtrack on the Blu-ray , Introduction from 2003 by filmmaker Todd Haynes, Interviews from 2003 with actor Brigitte Mira and editor Thea Eymesz, Shahbaz Noshir's 2002 short Angst isst Seele auf, which reunites Mira, Eymesz, and Jurges to tell the story, based on real events, of an attack by neo-Nazis on a foreign actor while on his way to a stage performance of Rainer Werner Fassbinder's screenplay, Signs of Vigorous Life: New German Cinema, a 1976 BBC program about the film movement of which Fassbinder was a part, Scene from Fassbinder's 1970 film The American Soldier that inspired Ali: Fear Eats the Soul, Trailer, PLUS: An essay by critic Chris Fujiwara",1970.0,1,1,0,0,,1.0,0,Europe
United States,Joseph L. Mankiewicz,1003.0,All About Eve,https://www.criterion.com/films/29596-all-about-eve,1950.0,1.37:1,"In Joseph L. Mankiewicz's devastatingly witty Hollywood classic, backstage is where the real drama plays out. One night, Margo Channing (Bette Davis) entertains a surprise dressing-room visitor: her most adoring fan, the shy, wide-eyed Eve Harrington (Anne Baxter). But as Eve becomes a fixture in Margo's life, the Broadway legend soon realizes that her supposed admirer intends to use her and everyone in her circle, including George Sanders's acid-tongued critic, as stepping-stones to stardom. Featuring stiletto-sharp dialogue and direction by Mankiewicz, and an unforgettable Davis in the role that revived her career and came to define it, the multiple-Oscar-winning All About Eve is the most deliciously entertaining film ever made about the ruthlessness of show business.","Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Gary Merrill, Hugh Marlowe, Gregory Ratoff, Thelma Ritter, Marilyn Monroe, Barbara Bates, Walter Hampden",Black & White,Director Joseph L. Mankiewicz Written by Joseph L. Mankiewicz Producer Darryl F. Zanuck Music Alfred Newman Director of photography Milton Krasner Art direction Lyle Wheeler Art direction George W. Davis Set decorations Thomas Little Set decorations Walter M. Scott Film editor Barbara McLean Wardrobe direction Charles LeMaire Costumes for Miss Bette Davis Edith Head Orchestration Edward Powell Makeup artist Ben Nye Sound W. D. Flick Sound Roger Heman,All About Eve,"Blu-Ray, DVD",English,138.0,"4K digital restoration, with uncompressed monaural soundtrack on the Blu-ray, Two audio commentaries from 2010, one featuring actor Celeste Holm, director Joseph L. Mankiewicz's son Christopher Mankiewicz, and author Kenneth L. Geist; the other featuring author Sam Staggs, All About Mankiewicz, a feature-length documentary from 1983 about the director, Episodes of The Dick Cavett Show from 1969 and 1980 featuring actors Bette Davis and Gary Merrill, New interview with costume historian Larry McQueen, Hollywood Backstories: ""All About Eve,"" a 2001 documentary featuring interviews with Davis and others about the making of the film, Documentaries from 2010 about Mankiewicz's life and career; ""The Wisdom of Eve,"" the 1946 short story on which the film is based, and its real-world inspiration; and a real-life Sarah Siddons Society based on the film's fictional organization, Radio adaptation of the film from 1951 , Promotion for the film featuring Davis, English subtitles for the deaf and hard of hearing, Plus: An essay by critic Terrence Rafferty and ""The Wisdom of Eve"", 4K digital restoration, with uncompressed monaural soundtrack on the Blu-ray, Two audio commentaries from 2010, one featuring actor Celeste Holm, director Joseph L. Mankiewicz's son Christopher Mankiewicz, and author Kenneth L. Geist; the other featuring author Sam Staggs, All About Mankiewicz, a feature-length documentary from 1983 about the director, Episodes of The Dick Cavett Show from 1969 and 1980 featuring actors Bette Davis and Gary Merrill, New interview with costume historian Larry McQueen, Hollywood Backstories: ""All About Eve,"" a 2001 documentary featuring interviews with Davis and others about the making of the film, Documentaries from 2010 about Mankiewicz's life and career; ""The Wisdom of Eve,"" the 1946 short story on which the film is based, and its real-world inspiration; and a real-life Sarah Siddons Society based on the film's fictional organization, Radio adaptation of the film from 1951 , Promotion for the film featuring Davis, English subtitles for the deaf and hard of hearing, Plus: An essay by critic Terrence Rafferty and ""The Wisdom of Eve""",1950.0,1,1,1,0,,1.0,0,North America
Spain,Pedro Almodovar,1012.0,All About My Mother,https://www.criterion.com/films/29569-all-about-my-mother,1999.0,2.35:1,"This Oscar-winning melodrama, one of Pedro Almodovar's most beloved films, provides a dizzying, moving exploration of the meaning of motherhood. In an instant, nurse Manuela (Cecilia Roth) loses the teenage son she raised on her own. Grief-stricken, she sets out to search for the boy's long-lost father in Barcelona, where she reawakens into a new maternal role, at the head of a surrogate family that includes a pregnant, HIV-positive nun (Penelope Cruz); an illustrious star of the stage (Marisa Paredes); and a transgender sex worker (Antonia San Juan). Beautifully performed and bursting with cinematic references, All About My Mother is a vibrant tribute to female fortitude, a one-of-a-kind family portrait, and a work of boundless compassion.","Cecilia Roth, Marisa Paredes, Penelope Cruz, Antonia San Juan, Candela Pena, Rosa Maria Sarda",Color,Director Pedro Almodovar Written by Pedro Almodovar Executive producer Agustin Almodovar Director of production Esther Garcia Director of photography Affonso Beato Editor Jose Salcedo Music Alberto Iglesias Sound Miguel Rejas Art director Antxon Gomez Associate producer Michel Ruben Makeup Juan Pedro Hernandez Costumes Jose Maria de Cossio Costumes Jean-Jacques Puchu First assistant director Pedro Lazaga Second camera operator Joaquin Manchado,All About My Mother,"Blu-Ray, DVD",Spanish,101.0,"New 2K digital restoration, supervised by executive producer Agustin Almodovar and approved by director Pedro Almodovar, with 5.1 surround DTS-HD Master Audio soundtrack on the Blu-ray, Fifty-two-minute documentary from 2012 on the making of the film, featuring interviews with Pedro Almodovar; Agustin Almodovar; actors Penelope Cruz, Marisa Paredes, Cecilia Roth, and Antonia San Juan; production manager Esther Garcia; and author Didier Eribon, Television program from 1999 featuring Pedro Almodovar and his mother, Francisca Caballero, along with Cruz, San Juan, Paredes, and Roth, Forty-eight-minute post-screening Q&A in Madrid from 2019, featuring Pedro Almodovar, Agustin Almodovar, and Paredes, New English subtitle translation, PLUS: An essay by film scholar Emma Wilson, along with (Blu-ray only) an interview with Pedro Almodovar and a tribute he wrote to his mother, both from 1999, New 2K digital restoration, supervised by executive producer Agustin Almodovar and approved by director Pedro Almodovar, with 5.1 surround DTS-HD Master Audio soundtrack on the Blu-ray, Fifty-two-minute documentary from 2012 on the making of the film, featuring interviews with Pedro Almodovar; Agustin Almodovar; actors Penelope Cruz, Marisa Paredes, Cecilia Roth, and Antonia San Juan; production manager Esther Garcia; and author Didier Eribon, Television program from 1999 featuring Pedro Almodovar and his mother, Francisca Caballero, along with Cruz, San Juan, Paredes, and Roth, Forty-eight-minute post-screening Q&A in Madrid from 2019, featuring Pedro Almodovar, Agustin Almodovar, and Paredes, New English subtitle translation, PLUS: An essay by film scholar Emma Wilson, along with (Blu-ray only) an interview with Pedro Almodovar and a tribute he wrote to his mother, both from 1999",1990.0,1,1,0,0,,1.0,0,Europe
Japan,Ishiro Honda,,All Monsters Attack,https://www.criterion.com/films/29343-all-monsters-attack,1969.0,2.35:1,"Director Ishiro Honda returned again for the first Godzilla movie expressly for children. Economizing by reusing effects shots from other films in the series, All Monster Attack tells the story of Ichiro, a lonely latchkey kid who finds solace in his dreams of befriending Minilla, the titular progeny of Son of Godzilla, whose parent is also often absent. In this thoughtful, human-scale story, boy and monster learn together what it means to grow up., New cover illustration by Jorge Coelho","Tomonori Yazaki, Kenji Sahara, Machiko Naka, Sachio Sakai, Kazuo Suzuki, Hideyo Amamoto, Midori Uchiyama, Yoshibumi Tajima, Chotaro Togin",Color,Director Ishiro Honda Producer Tomoyuki Tanaka Screenplay Shinichi Sekizawa Director of photography Mototaka Tomioka Art director Takeo Kita Music Kunio Miyauchi Editor Masahisa Himi Special-effects supervisor Eiji Tsuburaya Special-effects director Ishiro Honda Special-effects photography Sadamasa Arikawa Special-effects photography Mototaka Tomioka Special-effects art director Yasuyuki Inoue Special-effects assistant director Teruyoshi Nakano,All Monsters Attack,,Japanese,69.0,,1960.0,0,0,0,0,,0.0,0,Asia
United Kingdom,Basil Dearden,,All Night Long,https://www.criterion.com/films/27539-all-night-long,1962.0,1.66:1,"Othello is translated to the world of sixties London jazz clubs in Basil Dearden's smoky and sensational All Night Long. Over the course of one eventful evening, the anniversary celebration of the musical and romantic partners Aurelius Rex (Paul Harris) and Delia Lane (Marti Stevens), a jealous, ambitious drummer, Johnny Cousin (Patrick McGoohan), attempts to tear the interracial couple apart. This daring psychodrama also features on-screen appearances by jazz legends Charles Mingus, Dave Brubeck, Tubby Hayes, and Johnny Dankworth.","Patrick McGoohan, Keith Michell, Betsy Blair, Paul Harris, Marti Stevens, Richard Attenborough, Bernard Braden, Harry Towb, Maria Velasco, Dave Brubeck (piano), Johnny Dankworth (alto sax), Tubby Hayes (tenor, sax, vibes), Charles Mingus (bass)",Black & White,Director Basil Dearden Producer Michael Relph Screenplay Nel King Screenplay Peter Achilles Cinematography Ted Scaife Art direction Ray Simm Editing John D. Guthridge Music Philip Green,All Night Long,,English,91.0,,1960.0,0,0,1,0,,0.0,0,Europe
United States,Douglas Sirk,95.0,All That Heaven Allows,https://www.criterion.com/films/635-all-that-heaven-allows,1955.0,1.75:1,"This heartbreakingly beautiful indictment of 1950s American mores by Douglas Sirk follows the blossoming love between a well-off widow (Jane Wyman) and her handsome and earthy younger gardener (Rock Hudson). When their romance prompts the scorn of her children and country club friends, she must decide whether to pursue her own happiness or carry on a lonely, hemmed-in existence for the sake of the approval of others. With the help of ace cinematographer Russell Metty, Sirk imbues nearly every shot with a vivid and distinct emotional tenor. A profoundly felt film about class and conformity in small-town America, All That Heaven Allows is a pinnacle of expressionistic Hollywood melodrama.","Jane Wyman, Rock Hudson, Agnes Moorehead, Conrad Nagel, Virginia Grey, Gloria Talbott, William Reynolds, Charles Drake, Hayden Rorke, Jacqueline de Wit, Leigh Snowden, Donald Curtis, Alex Gerry, Nestor Paiva, Forrest Lewis, Tol Avery, Merry Anders",Color,Director Douglas Sirk Producer Ross Hunter Screenplay Peg Fenwick Based on the story by Edna L. Lee Based on the story by Harry Lee Cinematography Russell Metty Art direction Alexander Golitzen Art direction Eric Orbom Set decoration Russell A. Gausman Set decoration Julia Heron Editing Frank Gross Music Frank Skinner,All That Heaven Allows,"Blu-Ray, DVD",English,89.0,"2K digital restoration, Audio commentary featuring film scholars John Mercer and Tamar Jeffers-McDonald, Rock Hudson's Home Movies (1992), a groundbreaking essay film about the actor by Mark Rappaport, French television interview with director Douglas Sirk from 1982, Excerpts from Behind the Mirror: A Profile of Douglas Sirk, a 1979 BBC documentary featuring rare interview footage with the director, Contract Kid: William Reynolds on Douglas Sirk, a 2007 interview with the actor, who costarred in three Sirk films, including All That Heaven Allows, Trailer, English subtitles for the deaf and hard of hearing, A booklet featuring an essay by film scholar Laura Mulvey and an excerpt from a 1971 essay on Sirk by filmmaker Rainer Werner Fassbinder, 2K digital restoration, Audio commentary featuring film scholars John Mercer and Tamar Jeffers-McDonald, Rock Hudson's Home Movies (1992), a groundbreaking essay film about the actor by Mark Rappaport, French television interview with director Douglas Sirk from 1982, Excerpts from Behind the Mirror: A Profile of Douglas Sirk, a 1979 BBC documentary featuring rare interview footage with the director, Contract Kid: William Reynolds on Douglas Sirk, a 2007 interview with the actor, who costarred in three Sirk films, including All That Heaven Allows, Trailer, English subtitles for the deaf and hard of hearing, A booklet featuring an essay by film scholar Laura Mulvey and an excerpt from a 1971 essay on Sirk by filmmaker Rainer Werner Fassbinder",1950.0,1,1,1,0,,1.0,0,North America
United States,Bob Fosse,724.0,All That Jazz,https://www.criterion.com/films/28561-all-that-jazz,1979.0,1.85:1,"The preternaturally gifted director and choreographer Bob Fosse turned the camera on his own life for this madly imaginative, self-excoriating musical masterpiece. Roy Scheider gives the performance of his career as Joe Gideon, whose exhausting work schedule--mounting a Broadway production by day and editing his latest movie by night--and routine of amphetamines, booze, and sex are putting his health at serious risk. Fosse burrows into Gideon's (and his own) mind, rendering his interior world as phantasmagoric spectacle. Assembled with visionary editing that makes dance come alive on-screen as never before, and overflowing with sublime footwork by the likes of Ann Reinking, Leland Palmer, and Ben Vereen, All That Jazz pushes the musical genre to personal depths and virtuosic aesthetic heights.","Roy R. Scheider, Ann Reinking, Leland Palmer, Jessica Lange, Ben Vereen, Erzsebet Foldi, Cliff Gorman, Max Wright, Michael Tolan, Deborah Geffner, John Lithgow, Keith Gordon, David Margulies, Wallace Shawn",Color,Director Bob Fosse Written by Robert Alan Aurthur Written by Bob Fosse Produced by Robert Alan Aurthur Executive producer Daniel Melnick Associate producers Kenneth Utt Associate producers Wolfgang Glattes Cinematography Giuseppe Rotunno Editor Alan Heim Production designer Philip Rosenberg Fantasy designer Tony Walton Costume designer Albert Wolsky Music arranged and conducted by Ralph Burns Choreography by Bob Fosse,All That Jazz,"Blu-Ray, DVD",English,123.0,"New 4K digital restoration, with 3.0 surround DTS-HD Master Audio soundtrack on the Blu-ray , Audio commentary featuring editor Alan Heim, Selected-scene audio commentary by actor Roy Scheider, New interviews with Heim and Fosse biographer Sam Wasson, New conversation between actors Ann Reinking and Erzsebet Foldi, Episode of the talk show Tomorrow from 1980, featuring director Bob Fosse and choreographer Agnes de Mille , Interviews with Fosse from 1981 and 1986 , On-set footage, Portrait of a Choreographer, a 2007 documentary on Fosse, The Soundtrack: Perverting the Standards, a 2007 documentary about the film's music , Interview with George Benson from 2007, about his song ""On Broadway,"" which opens the film , English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring an essay by critic Hilton Als Cover based on a theatrical poster; packaging includes new illustrations by Sean Freeman, New 4K digital restoration, with 3.0 surround DTS-HD Master Audio soundtrack on the Blu-ray , Audio commentary featuring editor Alan Heim, Selected-scene audio commentary by actor Roy Scheider, New interviews with Heim and Fosse biographer Sam Wasson, New conversation between actors Ann Reinking and Erzsebet Foldi, Episode of the talk show Tomorrow from 1980, featuring director Bob Fosse and choreographer Agnes de Mille , Interviews with Fosse from 1981 and 1986 , On-set footage, Portrait of a Choreographer, a 2007 documentary on Fosse, The Soundtrack: Perverting the Standards, a 2007 documentary about the film's music , Interview with George Benson from 2007, about his song ""On Broadway,"" which opens the film , English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring an essay by critic Hilton Als Cover based on a theatrical poster; packaging includes new illustrations by Sean Freeman",1970.0,1,1,1,0,,1.0,0,North America
Sweden,Ingmar Bergman,,All These Women,https://www.criterion.com/films/27671-all-these-women,1964.0,1.37:1,"Conceived as an amusing diversion in the wake of Ingmar Bergman's despairing trilogy, this comedy is the director's first film in color, and it is an opulent visual feast. Working from a bawdy screenplay he cowrote with actor Erland Josephson, about a supercilious critic drawn into the dizzying orbit of a famous cellist, Bergman brings together buoyant comic turns by a number of his frequent collaborators, including Jarl Kulle, Eva Dahlbeck, Harriet Andersson, and Bibi Andersson. All These Women, in which Bergman pokes fun at the pretensions of drawing-room art, possesses a distinctly playful atmosphere and carefree cadences.","Jarl Kulle, Bibi Andersson, Harriet Andersson, Eva Dahlbeck, Karin Kavli, Gertrud Fridh, Mona Malm, Barbro Hiort af Ornas, Allan Edwall, Georg Funkquist, Carl Billquist",Color,Director Ingmar Bergman Screenplay Ingmar Bergman Screenplay Erland Josephson Producer Allan Ekelund Music Erik Nordgren Cinematographer Sven Nykvist Editor Ulla Ryghe Production design P. A. Lundgren Costume design Mago Makeup Cecilia Drott Makeup Britt Falkemo Makeup Borje Lundh Sound Tage Sjoborg,All These Women,,Swedish,80.0,,1960.0,0,0,0,0,,0.0,0,Europe
France,Jean-Luc Godard,25.0,Alphaville,https://www.criterion.com/films/207-alphaville,1965.0,1.33:1,"A cockeyed fusion of science fiction, pulp characters, and surrealist poetry, Godard's irreverent journey to the mysterious Alphaville remains one of the least conventional films of all time. Eddie Constantine stars as intergalactic hero Lemmy Caution, on a mission to kill the inventor of fascist computer Alpha 60.","Eddie Constantine, Anna Karina, Akim Tamiroff, Howard Vernon",Black & White,Director Jean-Luc Godard Screenplay Jean-Luc Godard Producer Andre Michelin Cinematography Raoul Coutard Music Paul Misraki Editing Agnes Guillemot,Alphaville,DVD,French,99.0,"New digital transfer, Essay by critic Andrew Sarris, New digital transfer, Essay by critic Andrew Sarris",1960.0,1,0,0,0,,1.0,0,Europe
Italy,Federico Fellini,4.0,Amarcord,https://www.criterion.com/films/208-amarcord,1973.0,1.85:1,"Federico Fellini returned to the provincial landscape of his childhood with this carnivalesque reminiscence, recreating his hometown of Rimini in Cinecitta's studios and rendering its daily life as a circus of social rituals, adolescent desires, male fantasies, and political subterfuge. Sketching a gallery of warmly observed comic caricatures, Fellini affectionately evokes a vanished world haloed with the glow of memory, even as he sends up authority figures representing church and state, satirizing a country stultified by Fascism. Winner of Fellini's fourth Academy Award for best foreign-language film, Amarcord remains one of the director's best-loved creations, beautifully weaving together Giuseppe Rottuno's colorful cinematography, Danilo Donati's extravagant costumes and sets, and Nino Rota's nostalgia-tinged score.","Pupella Maggio, Armando Brancia, Magali Noel, Ciccio Ingrassia, Nando Orfei, Luigi Rossi, Bruno Zanin, Gianfilippo Carcano, Josiane Tanzilli, Maria Antonietta Beluzzi, Giuseppe Ianigro, Ferruccio Brembilla",Color,Director Federico Fellini Story and screenplay by Federico Fellini Story and screenplay by Tonino Guerra Production design and costumes by Danilo Donati Cinematography by Giuseppe Rotunno Music Nino Rota Edited by Ruggero Mastroianni,Amarcord,"Blu-Ray, DVD",Italian,123.0,"Restored high-definition digital transfer, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary by film scholars Peter Brunette and Frank Burke, American release trailer, Deleted scene, Fellini's Homecoming, a forty-five-minute documentary on the complicated relationship between the celebrated director, his hometown, and his past, Interview with star Magali Noel, Fellini's drawings of characters in the film, Felliniana, a presentation of ephemera devoted to Amarcord, from the collection of Don Young, Archival audio interviews of Fellini and his friends and family, by critic Gideon Bachmann, Restoration demonstration, Optional English-dubbed soundtrack, PLUS: An essay by scholar Sam Rohdie, author of Fellini Lexicon, and Fellini's 1967 essay ""My Rimini"" (Blu-ray only) , Restored high-definition digital transfer, with uncompressed monaural soundtrack on the Blu-ray edition, Audio commentary by film scholars Peter Brunette and Frank Burke, American release trailer, Deleted scene, Fellini's Homecoming, a forty-five-minute documentary on the complicated relationship between the celebrated director, his hometown, and his past, Interview with star Magali Noel, Fellini's drawings of characters in the film, Felliniana, a presentation of ephemera devoted to Amarcord, from the collection of Don Young, Archival audio interviews of Fellini and his friends and family, by critic Gideon Bachmann, Restoration demonstration, Optional English-dubbed soundtrack, PLUS: An essay by scholar Sam Rohdie, author of Fellini Lexicon, and Fellini's 1967 essay ""My Rimini"" (Blu-ray only)",1970.0,1,1,0,0,,1.0,0,Europe
,,,America Lost and Found: The BBS Story,https://www.criterion.com/boxsets/769-america-lost-and-found-the-bbs-story,,,"Like the rest of America, Hollywood was ripe for revolution in the late sixties. Cinema attendance was down; what had once worked seemed broken. Enter Bob Rafelson, Bert Schneider, and Steve Blauner, who knew that what Hollywood needed was new audiences--namely, young people--and that meant cultivating new talent and new ideas. Fueled by money from their invention of the superstar TV pop group the Monkees, they set off on a film-industry journey that would lead them to form BBS Productions, a company that was also a community. The innovative films produced by this team between 1968 and 1972 are collected in this box set--works that now range from the iconic (Easy Rider, Five Easy Pieces, The Last Picture Show) to the acclaimed (The King of Marvin Gardens) to the obscure (Head; Drive, He Said; A Safe Place), all created within the studio system but lifted right out of the countercultural id.",,,,"Five Easy Pieces, Drive, He Said, The King of Marvin Gardens, Head, Easy Rider, A Safe Place, The Last Picture Show",Blu-Ray,,,"New, restored high-definition digital transfer, with uncompressed monaural soundtrack and newly created, optional DTS-HD Master Audio 5.1 soundtrack on the Blu-ray edition , Audio commentary featuring the Monkees , New video interview with director Bob Rafelson , New documentary about BBS featuring critic David Thomson and historian Douglas Brinkley , Screen tests with the Monkees , Trailers and TV and radio spots , Ephemera, including behind-the-scenes photos by Henry Diltz , Rare 1968 television interview with the Monkees, English subtitles for the deaf and hard of hearing, New, restored high-definition digital transfer, supervised by director of photography Laszlo Kovacs, with uncompressed monaural soundtrack and optional DTS-HD Master Audio soundtrack on the Blu-ray edition, Two audio commentaries, one featuring actor-director-writer Dennis Hopper, the other Hopper, actor-writer Peter Fonda, and production manager Paul Lewis , Born to Be Wild (1995) and ""Easy Rider"": Shaking the Cage, (1999), documentaries about the making and history of the film , Television excerpts showing Hopper and Fonda at the Cannes Film Festival , New video interview with BBS cofounder Steve Blauner , Theatrical trailers, English subtitles for the deaf and hard of hearing, New, restored high-definition digital transfer, supervised by director of photography Laszlo Kovacs, with uncompressed monaural soundtrack on the Blu-ray edition , Audio commentary featuring director Bob Rafelson and interior designer Toby Rafelson , Soul Searching in ""Five Easy Pieces,"" a 2009 video piece with Rafelson , BBStory, a 2009 documentary about the BBS era, with Rafelson, actors Jack Nicholson, Karen Black, and Ellen Burstyn, and directors Peter Bogdanovich and Henry Jaglom, among others , Audio excerpts from a 1976 AFI interview with Rafelson , Theatrical trailer and teasers , English subtitles for the deaf and hard of hearing, New, restored high-definition digital transfer, supervised by director Jack Nicholson, with uncompressed monaural soundtrack on the Blu-ray edition , A Cautionary Tale of Campus Revolution and Sexual Freedom, a 2009 video piece featuring Nicholson , Theatrical trailer , English subtitles for the deaf and hard of hearing, New, restored high-definition digital transfer, with uncompressed monaural soundtrack on the Blu-ray edition , Audio commentary featuring director Henry Jaglom , Henry Jaglom Finds ""A Safe Place,"" a 2009 video piece in which the director discusses the film , Notes on the New York Film Festival, a 1971 video interview with Jaglom and director Peter Bogdanovich , Outtakes and screen tests , Theatrical trailer , English subtitles for the deaf and hard of hearing, New, restored high-definition digital transfer of Peter Bogdanovich's director's cut, supervised by Bogdanovich, with uncompressed monaural soundtrack on the Blu-ray edition , Two audio commentaries, one from 1991, featuring Bogdanovich and actors Cybill Shepherd, Randy Quaid, Cloris Leachman, and Frank Marshall; the other from 2009, featuring Bogdanovich , ""The Last Picture Show"": A Look Back, (1999) and Picture This (1990), documentaries about the making of the film , A Discussion with Filmmaker Peter Bogdanovich, a 2009 Q&A , Screen tests and location footage , Excerpts from a 1972 television interview with director Francois Truffaut about the New Hollywood , Theatrical trailers , English subtitles for the deaf and hard of hearing, New, restored high-definition digital transfer, supervised by director of photogaphy Laszlo Kovacs, with uncompressed monaural soundtrack on the Blu-ray edition , Selected-scene commentary featuring director Bob Rafelson , Reflections of a Philosopher King, a 2009 video piece with Rafelson and actress Ellen Burstyn , Afterthoughts, a 2002 interview with Rafelson, about the film, produced by Rafelson, Kovacs, and actor Bruce Dern , Theatrical trailer , English subtitles for the deaf and hard of hearing, PLUS: A booklet featuring new essays by critics J. Hoberman, Chuck Stephens, Matt Zoller Seitz, Kent Jones, Graham Fuller, and Mark Le Fanu",,0,1,0,1,,,0,
